person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_No,previous_loan_defaults_on_file_Yes,person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,22.0,71948.0,0,3217900.0,16.02,0.49,3.0,561,1
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,21.0,12282.0,0,91940.0,11.14,0.08,2.0,504,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,25.0,12438.0,3,505670.0,12.87,0.44,3.0,635,1
1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,23.0,79753.0,0,3217900.0,15.23,0.44,2.0,675,1
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,24.0,66135.0,1,3217900.0,14.27,0.53,4.0,586,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,21.0,12951.0,0,229850.0,7.14,0.19,2.0,532,1
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,26.0,93471.0,1,3217900.0,12.42,0.37,3.0,701,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,24.0,95550.0,5,3217900.0,11.11,0.37,4.0,585,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,24.0,100684.0,3,3217900.0,8.9,0.35,2.0,544,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,21.0,12739.0,0,147104.0,14.74,0.13,3.0,640,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,22.0,102985.0,0,3217900.0,10.37,0.34,4.0,621,1
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,21.0,13113.0,0,413730.0,8.63,0.34,2.0,651,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,23.0,114860.0,3,3217900.0,7.9,0.3,2.0,573,1
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,26.0,130713.0,0,3217900.0,18.39,0.27,4.0,708,1
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.0,138998.0,0,3217900.0,7.9,0.25,4.0,583,0
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,23.0,600891.0,5,2758200.0,10.65,0.05,3.0,670,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.0,144943.0,0,3217900.0,7.9,0.24,4.0,663,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,23.0,111369.0,0,3217900.0,20.0,0.31,4.0,694,1
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,23.0,136628.0,0,3217900.0,18.25,0.26,4.0,709,1
1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,24.0,14283.0,1,160895.0,10.99,0.12,2.0,679,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,25.0,195718.0,0,3217900.0,7.49,0.18,4.0,684,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,25.0,165792.0,4,3199512.0,16.77,0.21,2.0,662,0
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,22.0,79255.0,0,3125960.0,17.58,0.43,4.0,691,1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,24.0,13866.0,0,137910.0,7.29,0.11,3.0,600,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,22.0,97420.0,1,3121363.0,14.54,0.35,4.0,691,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,24.0,82443.0,0,3034020.0,12.68,0.4,3.0,654,1
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,21.0,14288.0,0,420625.5,17.74,0.32,3.0,626,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,23.0,14293.0,0,128716.0,9.32,0.1,3.0,607,0
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,24.0,79054.0,1,2988050.0,9.99,0.41,3.0,700,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,21.0,14988.0,0,367760.0,12.84,0.27,2.0,553,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,21.0,14858.0,0,183880.0,11.12,0.13,3.0,589,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,25.0,144855.0,1,2942080.0,6.62,0.22,2.0,586,0
0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,26.0,114645.0,2,2854737.0,14.17,0.27,3.0,681,1
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,25.0,368115.0,3,2229545.0,13.85,0.07,3.0,567,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,26.0,361076.0,1,717132.0,13.49,0.02,4.0,669,0
0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21.0,15150.0,0,229850.0,7.51,0.17,4.0,600,1
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,22.0,58868.0,0,2758200.0,18.39,0.51,2.0,606,1
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,24.0,78026.0,3,2758200.0,14.54,0.38,3.0,582,1
0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,25.0,90785.0,4,2758200.0,16.89,0.33,4.0,649,1
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,23.0,86811.0,0,2758200.0,11.01,0.35,4.0,602,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,26.0,75503.0,5,2758200.0,17.99,0.4,2.0,616,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,24.0,15082.0,0,229850.0,12.69,0.17,3.0,631,1
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,26.0,361293.0,5,1838800.0,7.88,0.06,4.0,684,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,23.0,361547.0,0,2229545.0,19.41,0.07,2.0,637,0
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,26.0,360680.0,5,919400.0,10.38,0.03,4.0,649,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,26.0,360977.0,5,2298500.0,15.33,0.07,3.0,695,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,25.0,361244.0,2,1654920.0,16.45,0.05,3.0,620,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,26.0,98230.0,2,2758200.0,7.49,0.31,3.0,622,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,22.0,80838.0,0,2758200.0,12.69,0.37,3.0,645,1
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,26.0,107957.0,2,2758200.0,6.62,0.28,3.0,654,1
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,24.0,94649.0,2,2758200.0,11.01,0.32,4.0,624,1
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,23.0,94550.0,1,2758200.0,18.62,0.32,3.0,570,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,23.0,111153.0,3,2758200.0,15.23,0.27,3.0,648,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,23.0,117250.0,0,2758200.0,10.65,0.26,2.0,652,1
